"keys","en","de","fr"
"QUESTION3_E","The term, coined by American political scientist Graham T. Allison, goes back to a quote from Thucydides that war between Athens and Sparta was inevitable because Sparta feared the growing power of Athens.","Der Begriff des amerikanischen Politikwissenschaftlers Graham T. Allison geht auf ein Zitat Thukydides zurück, wonach Krieg zwischen Athen und Sparta aufgrund der Furcht Spartas vor der wachsenden Macht Athens unvermeidlich gewesen sei.","Le terme, popularisé par le politologue américain Graham T. Allison, remonte à une citation de Thucydide selon laquelle la guerre entre Athènes et Sparte était inévitable en raison de la peur de Sparte face à la puissance croissante d’Athènes."
"QUESTION4","Which of the following is NOT a tool of hybrid warfare?","Was ist kein Mittel der hybriden Kriegsführung?","Lequel des éléments suivants n’est PAS un moyen de la guerre hybride ?"
"QUESTION4_A","Orchestrated meme posts from so-called troll factories that systematically undermine the opponent’s credibility.","Orchestrierte Meme-Posts aus sogenannten Troll-Fabriken, die planmäßig die Glaubwürdigkeit des Gegners unterminieren.","Des posts de mèmes orchestrés depuis des “usines à trolls” visant à saper systématiquement la crédibilité de l’adversaire."
"QUESTION4_B","Military operations by so-called "“little green men”" who are not marked as combatants.","Militärische Operationen durch sogenannte "„Grüne Männchen“", die nicht als Kombattanten gekennzeichnet sind.","Des opérations militaires menées par de soi-disant « petits hommes verts » non identifiés comme combattants."
"QUESTION4_C","A UN Security Council resolution authorizing the use of military force.","Eine Resolution des UN-Sicherheitsrates zur Anwendung militärischer Gewalt.","Une résolution du Conseil de sécurité de l’ONU autorisant l’usage de la force militaire."
"QUESTION4_E","The Security Council has 15 member states. China, France, Russia, the United Kingdom, and the United States have veto power.","Der Sicherheitsrat besteht aus 15 Mitgliedsstaaten. China, Frankreich, Russland, Großbritannien und die USA besitzen Vetorecht.","Le Conseil compte 15 membres. La Chine, la France, la Russie, le Royaume-Uni et les États-Unis disposent d’un droit de veto."
"QUESTION5","Which novel and film inspired the Ukrainian video game S.T.A.L.K.E.R.: Shadow of Chernobyl?","Von welchem Roman und Film wurde ukrainische Videospiel S.T.A.L.K.E.R.: Shadow of Chernobyl inspiriert?","De quel roman et de quel film le jeu vidéo ukrainien S.T.A.L.K.E.R.: Shadow of Chernobyl s’inspire-t-il ?"
"QUESTION5_A","Novel: Roadside Picnic by Arkady & Boris Strugatsky. Film: Stalker by Andrei Tarkovsky.","Roman: Picknick am Wegesrand von Arkadi & Boris Strugazki. Film: Stalker von Andrei Tarkowski.","Roman : Pique-nique au bord du chemin d’Arkadi et Boris Strougatski. Film : Stalker d’Andreï Tarkovski."
"QUESTION5_B","Novel: Metro 2033 by Dmitry Glukhovsky. Film: Stalker by Sergei Bondarchuk.","Roman: Metro 2033 von Dmitri Gluchowski. Film: Stalker von Sergei Bondartschuk.","Roman : Metro 2033 de Dmitri Gloukhovski. Film : Stalker de Sergueï Bondartchouk."
"QUESTION5_C","Novel: Stalker by Svetlana Alexievich. Film: Shadow of Chernobyl by Fyodor Bondarchuk.","Roman: Wir von Jewgeni Samjatin. Film: Wir von Vojtěch Jasný.","Roman : Stalker de Svetlana Alexievitch. Film : L’Ombre de Tchernobyl de Fiodor Bondartchouk."
"QUESTION5_E","The Strugatsky brothers’ 1971 novel describes a mysterious Zone created by extraterrestrial intervention. In this Zone, our physical models only apply to a limited extent. Tarkovsky’s 1979 film adaptation is only loosely based on the book and focuses on the characters’ inner lives and their relationship to nature. The video game, in turn, relocates this Zone to the area of the destroyed Reactor 4 of the Chernobyl NPP.","Der Roman der Brüder Strugazki aus dem Jahr 1971 beschreibt eine seltsame Zone, die durch Einwirkung Außerirdischer entstanden ist. In dieser Zone gelten unsere physikalischen Modelle nur noch bedingt. Tarkowskis Verfilmung von 1979 basiert nur lose auf dem Buch und konzentriert sich auf das Innenleben seiner Figuren und deren Verhältnis zur Natur. Das Videospiel wiederum verlegt diese Zone in das Gebiet des zerstörten Block 4 des AKW Tschernobyl.","Dans ce jeu de 1984, il faut d’abord repousser des attaques de l’Union soviétique contre l’Amérique du Nord, puis détruire une installation nucléaire dans le Kremlin de Moscou. En 1985, l’office fédéral compétent accusa le jeu de banaliser les actions de guerre et affirma qu’il provoquait chez les jeunes « tension physique, colère, agressivité, nervosité, difficultés de concentration, maux de tête, etc. »"
"QUESTION6","Which of these current TV series is NOT based on a video game franchise?","Welche dieser aktuellen Fernsehserien basiert NICHT auf einer Videospielreihe?","Laquelle de ces séries télévisées récentes n’est PAS basée sur une franchise de jeux vidéo ?"
"QUESTION6_A","Shogun","Shogun","Shogun"
"QUESTION6_B","Fallout","Fallout","Fallout"
"QUESTION6_C","The Last of Us","The Last of Us","The Last of Us"
"QUESTION6_E","The series Shōgun premiered in 2024 and is based on the novel of the same name by James Clavell.","Die Serie Shogun startete 2024 und basiert auf dem gleichnamigen Roman von James Clavell.","La série Shōgun a débuté en 2024 et est basée sur le roman éponyme de James Clavell."
"QUESTION7","Which major video game series originally comes from Germany?","Welche große Videospielserie stammt ursprünglich aus Deutschland?","Quelle grande série de jeux vidéo est à l’origine allemande ?"
"QUESTION7_A","Far Cry","Far Cry","Far Cry"
"QUESTION7_B","Call of Duty","Call of Duty","Call of Duty"
"QUESTION7_C","BioShock","BioShock","BioShock"
"QUESTION7_E","Far Cry was released in 2004 and developed by Crytek, a studio from Frankfurt/Main.","Far Cry wurde 2004 veröffentlicht und von Crytek entwickelt, einem Studio aus Frankfurt/Main.","Sorti en 2004 et développé par Crytek, un studio de Francfort-sur-le-Main."
"QUESTION8","In which video game do players have to walk through our real world to catch fictional creatures?","In welchem Videospiel müssen Spielerinnen und Spieler durch unsere reale Welt gehen, um dort fiktive Kreaturen zu fangen?","Dans quel jeu vidéo les joueurs doivent-ils se déplacer dans le monde réel pour y capturer des créatures fictives ?"
"QUESTION8_A","Pokémon Go","Pokémon Go","Pokémon Go"
"QUESTION8_B","Tamagotchi Town","Tamagotchi Town","Tamagotchi Town"
"QUESTION8_C","Palworld","Palworld","Palworld"
"QUESTION8_E","The 2016 smartphone game was downloaded over a billion times. In some places it led to large crowds and even the closure of entire streets.","Das 2016 veröffentliche Spiel für Smartphones wurde über eine Milliarde mal heruntergeladen. Stellenweise hat es zu Ansammlungen großer Menschenmassen und sogar zu Schließungen ganzer Straßenzüge geführt.","Le jeu pour smartphones, sorti en 2016, a été téléchargé plus d’un milliard de fois. Il a parfois provoqué d’importants attroupements et même la fermeture de rues entières."
